Price in USD,ISEVEN,ISODD
1.6,FALSE,TRUE
1.61,FALSE,TRUE
1.62,FALSE,TRUE
1.62,FALSE,TRUE
1.63,FALSE,TRUE
1.63,FALSE,TRUE
1.64,FALSE,TRUE
1.64,FALSE,TRUE
1.65,FALSE,TRUE
1.66,FALSE,TRUE
1.66,FALSE,TRUE
1.67,FALSE,TRUE
1.67,FALSE,TRUE
1.68,FALSE,TRUE
1.68,FALSE,TRUE
1.69,FALSE,TRUE
1.7,FALSE,TRUE
1.7,FALSE,TRUE
1.71,FALSE,TRUE
1.71,FALSE,TRUE
1.72,FALSE,TRUE
1.73,FALSE,TRUE
1.73,FALSE,TRUE
1.74,FALSE,TRUE
1.74,FALSE,TRUE
1.75,FALSE,TRUE
1.76,FALSE,TRUE
1.76,FALSE,TRUE
1.77,FALSE,TRUE
1.77,FALSE,TRUE
1.78,FALSE,TRUE
1.79,FALSE,TRUE
1.79,FALSE,TRUE
1.8,FALSE,TRUE
1.81,FALSE,TRUE
1.81,FALSE,TRUE
1.82,FALSE,TRUE
1.82,FALSE,TRUE
1.83,FALSE,TRUE
1.84,FALSE,TRUE
1.85,FALSE,TRUE
1.85,FALSE,TRUE
1.86,FALSE,TRUE
1.87,FALSE,TRUE
1.88,FALSE,TRUE
1.88,FALSE,TRUE
1.89,FALSE,TRUE
1.9,FALSE,TRUE
2.59,TRUE,FALSE
2.59,TRUE,FALSE
2.59,TRUE,FALSE
2.59,TRUE,FALSE
2.59,TRUE,FALSE
2.59,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.6,TRUE,FALSE
2.61,TRUE,FALSE
2.62,TRUE,FALSE
2.63,TRUE,FALSE
2.64,TRUE,FALSE
2.66,TRUE,FALSE
2.67,TRUE,FALSE
2.68,TRUE,FALSE
2.69,TRUE,FALSE
2.7,TRUE,FALSE
2.71,TRUE,FALSE
2.72,TRUE,FALSE
2.74,TRUE,FALSE
2.74,TRUE,FALSE
2.75,TRUE,FALSE
2.75,TRUE,FALSE
2.75,TRUE,FALSE
2.76,TRUE,FALSE
2.76,TRUE,FALSE
2.77,TRUE,FALSE
2.77,TRUE,FALSE
2.78,TRUE,FALSE
2.78,TRUE,FALSE
2.79,TRUE,FALSE
2.79,TRUE,FALSE
2.8,TRUE,FALSE
2.81,TRUE,FALSE
2.82,TRUE,FALSE
2.83,TRUE,FALSE
2.83,TRUE,FALSE
2.84,TRUE,FALSE
2.85,TRUE,FALSE
2.86,TRUE,FALSE
2.87,TRUE,FALSE
2.88,TRUE,FALSE
2.89,TRUE,FALSE
2.89,TRUE,FALSE
2.91,TRUE,FALSE
2.92,TRUE,FALSE
2.93,TRUE,FALSE
2.95,TRUE,FALSE
2.96,TRUE,FALSE
2.97,TRUE,FALSE
2.98,TRUE,FALSE
3,FALSE,TRUE
3.01,FALSE,TRUE
3.02,FALSE,TRUE
3.03,FALSE,TRUE
0.69,TRUE,FALSE
0.7,TRUE,FALSE
0.7,TRUE,FALSE
0.7,TRUE,FALSE
0.71,TRUE,FALSE
0.71,TRUE,FALSE
0.71,TRUE,FALSE
0.71,TRUE,FALSE
0.72,TRUE,FALSE
0.72,TRUE,FALSE
0.72,TRUE,FALSE
0.73,TRUE,FALSE
0.73,TRUE,FALSE
0.73,TRUE,FALSE
0.73,TRUE,FALSE
0.74,TRUE,FALSE
0.74,TRUE,FALSE
0.74,TRUE,FALSE
0.74,TRUE,FALSE
0.75,TRUE,FALSE
0.75,TRUE,FALSE
0.75,TRUE,FALSE
0.75,TRUE,FALSE
0.76,TRUE,FALSE
0.76,TRUE,FALSE
0.76,TRUE,FALSE
0.76,TRUE,FALSE
0.77,TRUE,FALSE
0.77,TRUE,FALSE
0.77,TRUE,FALSE
0.77,TRUE,FALSE
0.77,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.83,TRUE,FALSE
0.83,TRUE,FALSE
0.84,TRUE,FALSE
0.84,TRUE,FALSE
0.85,TRUE,FALSE
0.85,TRUE,FALSE
0.86,TRUE,FALSE
0.86,TRUE,FALSE
0.87,TRUE,FALSE
0.87,TRUE,FALSE
0.88,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.78,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.79,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.8,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.81,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.82,TRUE,FALSE
0.83,TRUE,FALSE
0.83,TRUE,FALSE
0.83,TRUE,FALSE
0.84,TRUE,FALSE
0.84,TRUE,FALSE
0.84,TRUE,FALSE
0.84,TRUE,FALSE
0.85,TRUE,FALSE
0.85,TRUE,FALSE
0.85,TRUE,FALSE
0.86,TRUE,FALSE
0.86,TRUE,FALSE
0.86,TRUE,FALSE
0.87,TRUE,FALSE
0.87,TRUE,FALSE
0.87,TRUE,FALSE
0.87,TRUE,FALSE
0.88,TRUE,FALSE
0.88,TRUE,FALSE
0.88,TRUE,FALSE
0.89,TRUE,FALSE
0.89,TRUE,FALSE
0.89,TRUE,FALSE
0.9,TRUE,FALSE
0.9,TRUE,FALSE
0.91,TRUE,FALSE
0.91,TRUE,FALSE
0.92,TRUE,FALSE
0.92,TRUE,FALSE
0.93,TRUE,FALSE
0.93,TRUE,FALSE
0.93,TRUE,FALSE
0.94,TRUE,FALSE
0.94,TRUE,FALSE
0.95,TRUE,FALSE
1.43,FALSE,TRUE
1.44,FALSE,TRUE
1.44,FALSE,TRUE
1.44,FALSE,TRUE
1.44,FALSE,TRUE
1.45,FALSE,TRUE
1.45,FALSE,TRUE
1.45,FALSE,TRUE
1.45,FALSE,TRUE
1.46,FALSE,TRUE
1.46,FALSE,TRUE
1.46,FALSE,TRUE
1.46,FALSE,TRUE
1.47,FALSE,TRUE
1.48,FALSE,TRUE
1.48,FALSE,TRUE
1.49,FALSE,TRUE
1.5,FALSE,TRUE
1.5,FALSE,TRUE
1.51,FALSE,TRUE
1.52,FALSE,TRUE
1.52,FALSE,TRUE
1.53,FALSE,TRUE
1.53,FALSE,TRUE
1.54,FALSE,TRUE
1.55,FALSE,TRUE
1.55,FALSE,TRUE
1.55,FALSE,TRUE
1.56,FALSE,TRUE
